Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Multicomp_BC-2001_1x2032,1,CR2032,
"C1, C2",0603,2,1u,
"C3, C4, C5",0603,3,100n,
C6,0603,1,0.1u,
"D1, D2, D3",LED_WS2812B-2020_PLCC4_2.0x2.0mm,3,WS2812B-2020,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2",0603,2,5.1K,
R3,0603,1,1.5K,
R4,0603,1,10k,
SW1,CherryMX_Red,1,SW_Push,
SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPDT,
U1,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH32V003JxMx,
U2,AP7333,1,AP7333,
